Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,875,0,31,43.1213228571428,1.5533000000047537,180.0294999999963,8688.0,103.37689143324506,0.0,31,44,62,70,87,100,170,170,180,180,180
,Aggregated,875,0,31,43.1213228571428,1.5533000000047537,180.0294999999963,8688.0,103.37689143324506,0.0,31,44,62,70,87,100,170,170,180,180,180
